"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"QH","Quhuo Ltd ADR","Technology","Software - Application","China",0.99,0.49,1.00,0.00%,635508
2,"TAOP","Taoping Inc","Technology","Software - Infrastructure","China",2.51,,2.50,-2.72%,65727
3,"HUBC","Hub Cyber Security Ltd","Technology","Software - Infrastructure","Israel",2.59,,0.85,-15.83%,2466560
4,"IMTE","Integrated Media Technology Limited","Technology","Electronic Components","Malaysia",2.60,,0.76,2.83%,52606
5,"BIYA","Baiya International Group Inc","Technology","Software - Application","China",3.23,,0.26,-1.15%,262701
6,"WTO","UTime Ltd","Technology","Consumer Electronics","China",3.30,,1.13,-2.59%,232825
7,"JDZG","Jiade Ltd","Technology","Information Technology Services","China",3.31,,1.43,-5.29%,14212
8,"AUUD","Auddia Inc","Technology","Software - Application","USA",3.50,,1.13,-1.74%,46680
9,"MYSZ","My Size Inc","Technology","Software - Application","Israel",3.71,,0.96,-4.52%,223288
10,"FRGT","Freight Technologies Inc","Technology","Software - Application","USA",4.13,,0.70,6.43%,1551828
11,"MASK","3 E Network Technology Group Ltd","Technology","Software - Application","China",4.14,2.57,0.37,-1.41%,77060
12,"BOXL","Boxlight Corporation","Technology","Consumer Electronics","USA",4.62,,0.81,-12.93%,201853
13,"ASNS","Actelis Networks Inc","Technology","Communication Equipment","USA",4.75,,2.72,-14.20%,147157
14,"SGN","Signing Day Sports Inc","Technology","Software - Application","USA",4.82,,1.20,-4.76%,185517
15,"ULY","Urgent.ly Inc","Technology","Software - Application","USA",4.89,,2.23,19.25%,460906
16,"EPWK","EPWK Holdings Ltd","Technology","Software - Application","China",5.11,,1.38,-2.13%,127602
17,"AGMH","AGM Group Holdings Inc","Technology","Computer Hardware","Hong Kong",5.67,0.07,2.81,0.35%,19500
18,"ASTC","Astrotech Corp","Technology","Scientific & Technical Instruments","USA",5.98,,3.40,0.44%,4821
19,"ASTI","Ascent Solar Technologies Inc","Technology","Solar","USA",6.71,,1.93,-0.52%,52814
20,"LGCL","Lucas GC Ltd","Technology","Software - Application","China",7.00,0.04,2.51,2.45%,8673
21,"AIXI","Xiao-I Corp ADR","Technology","Software - Application","China",7.21,,0.68,-1.27%,160184
22,"MITQ","Moving iMage Technologies Inc","Technology","Communication Equipment","USA",7.37,,0.74,-3.48%,59904
23,"IFBD","Infobird Co Ltd","Technology","Software - Application","Hong Kong",8.19,,1.00,-11.51%,21704
24,"GLE","Global Engine Group Holding Ltd","Technology","Information Technology Services","Hong Kong",8.21,,0.45,4.81%,18030
25,"SMTK","SmartKem Inc","Technology","Semiconductor Equipment & Materials","United Kingdom",8.33,,1.52,4.11%,108155
26,"MSN","Emerson Radio Corp","Technology","Consumer Electronics","USA",9.12,,0.43,1.03%,21669
27,"BNZI","Banzai International Inc","Technology","Software - Application","USA",9.14,,1.21,-8.33%,194256
28,"PRSO","Peraso Inc","Technology","Semiconductors","USA",9.27,,1.00,5.80%,395005
29,"RPGL","Republic Power Group Ltd","Technology","Software - Application","Singapore",9.29,,0.54,-0.81%,422902
30,"FUSE","Fusemachines Inc","Technology","Software - Application","USA",10.06,,1.78,-1.11%,26849
31,"ARBB","ARB IOT Group Ltd","Technology","Information Technology Services","Singapore",10.63,,6.02,-8.79%,10264
32,"TURB","Turbo Energy S.A. ADR","Technology","Solar","Spain",10.69,,0.97,0.25%,209028
33,"AMST","Amesite Inc","Technology","Software - Application","USA",10.79,,2.36,-4.45%,8963
34,"IZM","Iczoom Group Inc","Technology","Electronics & Computer Distribution","China",10.82,8.44,0.90,-3.24%,10621
35,"HTCR","HeartCore Enterprises Inc","Technology","Software - Application","Japan",11.27,,0.44,-3.76%,65192
36,"RVYL","Ryvyl Inc","Technology","Software - Infrastructure","USA",11.40,,0.32,-6.26%,1966565
37,"TGHL","Growhub Ltd","Technology","Software - Infrastructure","Singapore",11.81,,0.47,18.30%,179064
38,"CXAI","CXApp Inc","Technology","Software - Application","USA",11.90,,0.42,-4.24%,337702
39,"BNAI","Brand Engagement Network Inc","Technology","Software - Infrastructure","USA",11.90,,0.27,-6.09%,1537663
40,"WLDS","Wearable Devices Ltd","Technology","Consumer Electronics","Israel",12.57,,1.90,-3.55%,262241
41,"AIXC","AIxCrypto Holdings Inc","Technology","Software - Infrastructure","USA",12.90,,2.50,-4.94%,67392
42,"WCT","Wellchange Holdings Co. Ltd","Technology","Software - Application","Hong Kong",12.90,,0.24,6.18%,159663
43,"CYCU","Cycurion Inc","Technology","Information Technology Services","USA",13.83,,4.15,14.64%,393034
44,"NVNI","Nvni Group Ltd","Technology","Software - Application","Brazil",13.99,,4.05,18.08%,1089624
45,"SMSI","Smith Micro Software, Inc","Technology","Software - Application","USA",14.46,,0.62,-2.16%,89718
46,"ZSPC","Zspace Inc","Technology","Computer Hardware","USA",15.35,,0.53,28.29%,2868587
47,"ELWS","Earlyworks Co Ltd ADR","Technology","Software - Application","Japan",16.20,,5.36,-0.37%,7039
48,"IPM","Intelligent Protection Management Corp","Technology","Software - Application","USA",16.99,,1.87,0.54%,13625
49,"NXPL","NextPlat Corp","Technology","Software - Application","USA",17.02,,0.65,7.65%,231071
50,"YAAS","Youxin Technology Ltd","Technology","Software - Application","China",18.15,,1.61,-5.29%,58744
51,"WKEY","WISeKey International Holding Ltd ADR","Technology","Semiconductors","Switzerland",18.21,,9.06,-7.65%,383585
52,"AUID","authID Inc","Technology","Software - Infrastructure","USA",18.69,,1.24,-7.46%,232660
53,"YYAI","AiRWA Inc","Technology","Software - Infrastructure","USA",19.74,,1.04,0.00%,16221122
54,"RYDE","Ryde Group Ltd","Technology","Software - Application","Singapore",19.79,,0.47,-4.28%,52863
55,"CISO","CISO Global Inc","Technology","Software - Infrastructure","USA",20.16,,0.46,-13.63%,749312
56,"TGL","Treasure Global Inc","Technology","Software - Application","USA",21.58,,25.44,276.44%,25611824
57,"WETH","Wetouch Technology Inc","Technology","Electronic Components","China",21.72,2.92,1.82,-2.15%,168756
58,"CSAI","Cloudastructure Inc","Technology","Software - Infrastructure","USA",21.73,,1.11,-3.48%,217151
59,"AIFF","Firefly Neuroscience Inc","Technology","Software - Application","USA",21.99,,1.63,-5.78%,183946
60,"SELX","Semilux International Ltd","Technology","Electronic Components","Cayman Islands",22.56,,0.60,-11.67%,34947
61,"IDAI","T Stamp Inc","Technology","Software - Application","USA",22.92,,4.37,-2.89%,127569
62,"VEEA","Veea Inc","Technology","Information Technology Services","USA",23.58,,0.47,-0.93%,43202
63,"BTTC","Black Titan Corp","Technology","Software - Application","Malaysia",24.56,,3.18,-4.79%,61661
64,"FTFT","Future FinTech Group Inc","Technology","Software - Application","USA",24.59,,1.22,-4.69%,46402
65,"SLAI","SOLAI Ltd. ADR","Technology","Information Technology Services","USA",26.53,,1.42,-6.58%,48559
66,"QCLS","Q/C Technologies Inc","Technology","Computer Hardware","USA",28.54,,6.85,-1.01%,28777227
67,"MSAI","MultiSensor AI Holdings Inc","Technology","Software - Infrastructure","USA",28.79,,0.55,-7.15%,1591171
68,"MKDW","MKDWELL Tech Inc","Technology","Electronic Components","Taiwan",29.01,,0.20,0.50%,274043
69,"NXTT","Next Technology Holding Inc","Technology","Software - Application","China",29.44,0.01,7.21,2.85%,60256
70,"CYN","Cyngn Inc","Technology","Software - Application","USA",29.74,,3.73,-4.60%,113905
71,"SAGT","Sagtec Global Ltd","Technology","Software - Application","Malaysia",29.87,2.99,2.38,0.00%,22243
72,"INTZ","Intrusion Inc","Technology","Software - Infrastructure","USA",29.95,,1.49,-3.25%,69160
73,"NOTE","FiscalNote Holdings Inc","Technology","Information Technology Services","USA",31.26,,1.99,-5.24%,255848
74,"VVPR","VivoPower International PLC","Technology","Solar","United Kingdom",31.32,,2.50,-6.02%,170987
75,"MCRP","Micropolis Holding Co","Technology","Software - Infrastructure","United Arab Emirates",32.70,,0.94,-16.30%,797047
76,"MOBX","Mobix Labs Inc","Technology","Semiconductors","USA",32.97,,0.54,0.31%,597706
77,"FOXX","Foxx Development Holdings Inc","Technology","Consumer Electronics","USA",33.83,,4.92,23.93%,224349
78,"BMR","Beamr Imaging Ltd","Technology","Software - Application","Israel",35.38,,2.28,-6.17%,95305
79,"BEEM","Beam Global","Technology","Solar","USA",36.16,,1.90,-4.04%,158968
80,"BLBX","Blackboxstocks Inc","Technology","Software - Application","USA",36.37,,8.78,5.66%,143597
81,"FATN","Fatpipe Inc","Technology","Software - Infrastructure","USA",37.18,86.13,2.67,-3.26%,18073
82,"GMM","Global Mofy AI Ltd","Technology","Information Technology Services","China",39.15,0.74,1.34,5.10%,21857
83,"NEON","Neonode Inc","Technology","Electronic Components","Sweden",39.27,4.37,2.34,-4.88%,229719
84,"PHUN","Phunware Inc","Technology","Software - Application","USA",41.79,,2.07,-5.05%,103067
85,"TAOX","TAO Synergies Inc","Technology","Software - Infrastructure","USA",42.70,,5.99,-10.19%,133662
86,"HKIT","Hitek Global Inc","Technology","Software - Application","China",42.78,,1.46,-8.75%,768215
87,"PXLW","Pixelworks Inc","Technology","Semiconductors","USA",43.49,,6.91,0.14%,48897
88,"TDTH","Trident Digital Tech Holdings Ltd. ADR","Technology","Information Technology Services","Singapore",45.17,,0.60,8.82%,77681
89,"UAVS","AgEagle Aerial Systems Inc","Technology","Computer Hardware","USA",50.49,,1.26,-7.35%,1826480
90,"OPTX","Syntec Optics Holdings Inc","Technology","Electronic Components","USA",50.95,,1.38,-5.48%,90639
91,"HOLO","MicroCloud Hologram Inc","Technology","Electronic Components","China",52.01,0.30,3.57,-4.03%,488745
92,"LHSW","Lianhe Sowell International Group Ltd","Technology","Software - Infrastructure","China",52.52,16.16,1.01,17.07%,84749
93,"CMBM","Cambium Networks Corp","Technology","Communication Equipment","USA",53.66,,1.90,9.83%,5324570
94,"ICG","Intchains Group Ltd ADR","Technology","Semiconductors","China",55.18,8.77,1.84,-1.08%,182777
95,"LPSN","Liveperson Inc","Technology","Software - Application","USA",58.46,,4.93,-4.09%,102567
96,"CPSH","CPS Technologies Corporation","Technology","Electronic Components","USA",59.15,,3.29,-2.66%,62531
97,"XBP","XBP Global Holdings Inc","Technology","Software - Infrastructure","USA",62.04,0.06,0.53,-20.26%,592320
98,"MTC","Mmtec Inc","Technology","Software - Application","Hong Kong",62.72,,2.49,-6.39%,71754
99,"UBXG","U-BX Technology Ltd","Technology","Software - Infrastructure","China",62.86,,2.08,1.26%,21148
100,"HIT","Health In Tech Inc","Technology","Software - Application","USA",64.88,45.42,1.14,-10.24%,1307722
101,"PSQH","PSQ Holdings Inc","Technology","Software - Application","USA",67.51,,1.46,-1.35%,615022
102,"AMPG","Amplitech Group Inc","Technology","Communication Equipment","USA",68.52,,3.32,-4.05%,266197
103,"RCT","RedCloud Holdings PLC","Technology","Software - Application","United Kingdom",70.76,,1.60,-3.61%,139399
104,"ZEO","Zeo Energy Corp","Technology","Solar","USA",72.49,,1.26,-1.56%,109158
105,"ATOM","Atomera Inc","Technology","Semiconductor Equipment & Materials","USA",78.89,,2.49,-0.80%,1204966
106,"STEC","Santech Holdings Ltd. ADR","Technology","Software - Application","China",80.92,,0.96,-3.48%,25190
107,"MLGO","MicroAlgo Inc","Technology","Software - Infrastructure","China",80.97,0.95,6.51,-5.65%,68237
